iter	Passed	Remaining
405	4843	7086
406	4854	7072
407	4865	7059
408	4876	7045
409	4886	7032
410	4896	7017
411	4907	7003
412	4917	6989
413	4927	6974
414	4939	6963
415	4952	6952
416	4964	6940
417	4975	6927
418	4987	6915
419	4998	6902
420	5009	6889
421	5021	6877
422	5032	6864
423	5043	6851
424	5055	6839
425	5066	6827
426	5079	6815
427	5091	6804
428	5103	6793
429	5116	6781
430	5127	6769
431	5139	6757
432	5151	6745
433	5163	6734
434	5175	6722
435	5187	6710
436	5199	6698
437	5211	6686
438	5222	6674
439	5234	6661
440	5244	6647
441	5256	6635
442	5268	6623
443	5278	6609
444	5288	6596
445	5301	6584
446	5312	6572
447	5323	6559
448	5337	6550
449	5353	6542
450	5372	6539
451	5389	6534
452	5407	6530
453	5425	6525
454	5442	6519
455	5459	6512
456	5472	6502
457	5485	6491
458	5498	6480
459	5511	6470
460	5524	6458
461	5536	6447
462	5549	6436
463	5562	6425
464	5573	6412
465	5585	6400
466	5597	6389
467	5608	6375
468	5621	6364
469	5632	6351
470	5644	6339
471	5654	6325
472	5666	6313
473	5678	6301
474	5691	6290
475	5704	6279
476	5716	6267
477	5728	6255
478	5740	6244
479	5751	6231
480	5764	6219
481	5775	6206
482	5787	6194
483	5798	6181
484	5809	6169
485	5820	6156
486	5832	6143
487	5844	6132
488	5856	6119
489	5867	6106
490	5878	6094
491	5889	6080
492	5898	6066
493	5908	6051
494	5919	6038
495	5929	6025
496	5940	6012
497	5951	5999
498	5963	5987
499	5975	5975
500	5986	5962
501	5997	5949
502	6009	5937
503	6020	5924
504	6031	5912
505	6043	5900
506	6055	5888
507	6065	5874
508	6076	5861
509	6089	5850
510	6100	5838
511	6112	5825
512	6124	5814
513	6136	5801
514	6148	5790
515	6160	5778
516	6171	5766
517	6183	5753
518	6195	5741
519	6208	5730
520	6219	5717
521	6229	5704
522	6239	5690
523	6251	5678
524	6263	5666
525	6274	5654
526	6286	5642
527	6298	5630
528	6309	5617
529	6321	5606
530	6334	5594
531	6347	5583
532	6360	5572
533	6382	5569
534	6402	5565
535	6421	5558
536	6439	5552
537	6457	5545
538	6475	5538
539	6490	5529
540	6505	5519
541	6517	5507
542	6529	5495
543	6542	5484
544	6555	5472
545	6566	5460
546	6578	5448
547	6589	5435
548	6602	5423
549	6613	5411
550	6625	5398
551	6637	5386
552	6648	5374
553	6660	5361
554	6670	5348
555	6683	5337
556	6696	5325
557	6708	5313
558	6719	5301
559	6732	5289
560	6744	5278
561	6757	5266
562	6770	5255
563	6784	5244
564	6796	5232
565	6808	5220
566	6821	5209
567	6833	5197
568	6845	5185
569	6857	5172
570	6869	5161
571	6882	5149
572	6893	5137
573	6903	5123
574	6915	5111
575	6927	5099
576	6937	5086
577	6948	5073
578	6959	5060
579	6969	5046
580	6979	5033
581	6989	5019
582	6998	5006
583	7008	4992
584	7017	4978
585	7027	4964
586	7036	4950
587	7046	4937
588	7058	4925
589	7068	4912
590	7079	4899
591	7088	4885
592	7097	4871
593	7107	4857
594	7118	4845
595	7128	4831
596	7138	4819
597	7149	4806
598	7160	4793
599	7171	4781
600	7183	4768
601	7194	4756
602	7205	4744
603	7217	4731
604	7228	4719
605	7240	4707
606	7252	4695
607	7264	4683
608	7275	4671
609	7287	4659
610	7300	4647
611	7312	4636
612	7325	4624
613	7337	4612
614	7350	4601
615	7369	4593
616	7390	4587
617	7411	4581
618	7432	4575
619	7451	4567
620	7469	4558
621	7486	4549
622	7504	4541
623	7520	4531
624	7536	4521
625	7550	4510
626	7563	4499
627	7575	4487
628	7588	4475
629	7602	4464
630	7614	4452
631	7627	4441
632	7639	4429
633	7651	4417
634	7664	4405
635	7675	4392
636	7688	4381
637	7699	4368
638	7709	4355
639	7721	4343
640	7733	4331
641	7745	4319
642	7757	4307
643	7769	4294
644	7781	4282
645	7794	4271
646	7806	4259
647	7819	4247
648	7831	4235
649	7843	4223
650	7854	4210
651	7866	4198
652	7876	4185
653	7887	4172
654	7900	4161
655	7910	4148
656	7922	4136
657	7934	4123
658	7945	4111
659	7956	4099
660	7968	4086
661	7979	4074
662	7992	4062
663	8003	4049
664	8015	4038
665	8026	4025
666	8037	4012
667	8050	4001
668	8063	3989
669	8073	3976
670	8084	3964
671	8096	3951
672	8108	3940
673	8119	3927
674	8131	3914
675	8142	3902
676	8154	3890
677	8167	3878
678	8179	3866
679	8191	3854
680	8202	3842
681	8214	3830
682	8225	3817
683	8237	3805
684	8248	3793
685	8260	3781
686	8273	3769
687	8284	3757
688	8297	3745
689	8308	3732
690	8318	3720
691	8328	3707
692	8338	3694
693	8348	3681
694	8360	3669
695	8373	3657
696	8384	3645
697	8395	3632
698	8406	3620
699	8417	3607
700	8428	3594
701	8440	3582
702	8451	3570
703	8462	3558
704	8474	3546
705	8485	3533
706	8495	3520
707	8505	3508
708	8515	3495
709	8526	3482
710	8536	3469
711	8547	3457
712	8559	3445
713	8571	3433
714	8582	3421
715	8594	3408
716	8606	3397
717	8618	3384
718	8628	3372
719	8641	3360
720	8653	3348
721	8666	3336
722	8678	3325
723	8691	3313
724	8704	3301
725	8717	3289
726	8729	3277
727	8742	3266
728	8755	3254
729	8766	3242
730	8776	3229
731	8787	3217
732	8798	3204
733	8810	3192
734	8822	3180
735	8836	3169
736	8847	3157
737	8859	3145
738	8872	3133
739	8884	3121
740	8896	3109
741	8908	3097
742	8920	3085
743	8933	3073
744	8944	3061
745	8954	3048
746	8967	3037
747	8979	3025
748	8990	3012
749	9001	3000
750	9011	2987
751	9022	2975
752	9033	2963
753	9045	2951
754	9054	2938
755	9066	2926
756	9076	2913
757	9085	2900
758	9096	2888
759	9107	2876
760	9117	2863
761	9128	2851
762	9139	2838
763	9149	2826
764	9159	2813
765	9169	2801
766	9180	2788
767	9191	2776
768	9201	2764
769	9213	2752
770	9224	2739
771	9234	2727
772	9244	2714
773	9255	2702
774	9265	2689
775	9275	2677
776	9285	2664
777	9296	2652
778	9306	2640
779	9317	2628
780	9329	2616
781	9340	2604
782	9351	2591
783	9363	2579
784	9373	2567
785	9383	2554
786	9394	2542
787	9405	2530
788	9415	2518
789	9426	2505
790	9436	2493
791	9446	2480
792	9456	2468
793	9466	2456
794	9475	2443
795	9484	2430
796	9493	2418
797	9502	2405
798	9511	2392
799	9520	2380
800	9529	2367
801	9538	2354
802	9547	2342
803	9556	2329
804	9565	2317
805	9574	2304
806	9583	2292
807	9592	2279
808	9601	2266
809	9609	2254
810	9618	2241
811	9627	2229
812	9636	2216
813	9644	2203
814	9654	2191
815	9662	2178
816	9671	2166
817	9680	2153
818	9689	2141
819	9698	2128
820	9706	2116
821	9715	2103
822	9724	2091
823	9733	2078
824	9742	2066
825	9751	2054
826	9760	2041
827	9770	2029
828	9779	2017
829	9788	2004
830	9798	1992
831	9807	1980
832	9816	1968
833	9824	1955
834	9833	1943
835	9841	1930
836	9850	1918
837	9859	1905
838	9868	1893
839	9878	1881
840	9888	1869
841	9897	1857
842	9907	1845
843	9917	1833
844	9929	1821
845	9940	1809
846	9952	1797
847	9963	1785
848	9973	1773
849	9982	1761
850	9992	1749
851	10001	1737
852	10010	1725
853	10019	1712
854	10029	1700
855	10038	1688
856	10047	1676
857	10056	1664
858	10066	1652
859	10074	1640
860	10084	1627
861	10092	1615
862	10100	1603
863	10109	1591
864	10118	1579
865	10126	1566
866	10135	1554
867	10145	1542
868	10156	1531
869	10167	1519
870	10178	1507
871	10188	1495
872	10199	1483
873	10210	1471
874	10221	1460
875	10231	1448
876	10241	1436
877	10252	1424
878	10262	1412
879	10272	1400
880	10282	1388
881	10292	1377
882	10301	1364
883	10311	1353
884	10320	1341
885	10330	1329
886	10339	1317
887	10348	1305
888	10358	1293
889	10368	1281
890	10379	1269
891	10391	1258
892	10404	1246
893	10415	1234
894	10426	1223
895	10437	1211
896	10449	1199
897	10461	1188
898	10472	1176
899	10482	1164
900	10492	1152
901	10501	1140
902	10510	1129
903	10519	1117
904	10528	1105
905	10537	1093
906	10546	1081
907	10555	1069
908	10564	1057
909	10573	1045
910	10582	1033
911	10592	1022
912	10601	1010
913	10610	998
914	10619	986
915	10628	974
916	10637	962
917	10645	950
918	10654	939
919	10663	927
920	10672	915
921	10681	903
922	10691	891
923	10701	880
924	10711	868
925	10722	856
926	10732	845
927	10741	833
928	10752	821
929	10762	810
930	10775	798
931	10786	786
932	10796	775
933	10807	763
934	10817	751
935	10826	740
936	10836	728
937	10846	716
938	10855	705
939	10865	693
940	10874	681
941	10883	670
942	10893	658
943	10903	646
944	10912	635
945	10922	623
946	10931	611
947	10940	600
948	10949	588
949	10958	576
950	10967	565
951	10976	553
952	10986	541
953	10995	530
954	11005	518
955	11017	507
956	11028	495
957	11038	483
958	11049	472
959	11059	460
960	11071	449
961	11082	437
962	11093	426
963	11105	414
964	11116	403
965	11126	391
966	11137	380
967	11147	368
968	11157	356
969	11167	345
970	11176	333
971	11186	322
972	11197	310
973	11208	299
974	11219	287
975	11229	276
976	11239	264
977	11249	253
978	11260	241
979	11271	230
980	11284	218
981	11297	207
982	11307	195
983	11317	184
984	11329	172
985	11340	161
986	11351	149
987	11363	138
988	11374	126
989	11385	115
990	11397	103
991	11408	92
992	11420	80
993	11433	69
994	11446	57
995	11457	46
996	11468	34
997	11479	23
998	11491	11
999	11503	0
